username,review,calificacion
I'mErik_San,"Mala atención, tardan demasiado en pasar, llegué a esperar hasta 20 min. En repetidas ocasiones Para que me dieran 2 cortes específicos que teóricamente deberían tener siempre listos y los cabritos con las espadas demoraban mucho en volver…",2
Myriam Rodríguez,Se inunda el lugar,2
Claudia Sanchez,"Muy mala calidad de alimentos, ellos deciden cuándo terminar de servir ",0
EDUARDO SANCHEZ MONTES,"La atención es relativamente buena... la calidad de los alimentos es buena, pero los chicos que te llevan los cortes no son tan atentos, hay que estarlos buscando y llamando porque no van a ofrecer a tu mesa",2
Julio Uribe,Excelente atención y variedad de cortes.,3
Carlos Perez,"Un excelente lugar, para disfrutar de diferentes cortes de carne, buen vino, ambiente familiar y además en bufet, barra de ensaladas y más, buena ubicación, excelente atención de su personal.",4
Jesus Aguilar Castro,Muy rico y un servicio amable y atento. La carne es deliciosa y siempre procuran que las mesas estén limpias,4
gustavo salgado,"El servicio muy lento ya que ahora andan en unos carritos con las espadas adentro, eso lo entiendo por lo de la pandemia y ahora te sirve muy pero muy poquito cada que pasan con las espadas, yo llevo varios años llendo a este lugar y esta ultima vez me desepciono mucho.",2
Valdes Juan M,"Es un lugar auténticamente buffet brasileño. Su atractivo es la carne, distintos cortes característicos de Brasil servidos en tu mesa en las famosas espadas, yo fui solo por el buffet y no decepciona, el costo es media-alta pero por la zona del aeropuerto no creo que valga tanto eso.",4
Naxeli Rojas,"Me encanta la comida, a muy buen precio todo el servicio excelente",4
javier jesus marquez barron, Wooooow Este lugar no tiene madre!!!…,4
Javier Muñoz,"Mala atención por parte del personal, descuidan mucho el servicio, la calidad y punto de la carnes es mala.",0
Merys Nava,Delicioso  y la atención super bien  nos atendió el mesero Daniel muy amable por cierto,4
Ismael Rodríguez,"No lo conocía, es ideal para pasar un buen rato",3
Andrea Soriano,"Se realizó una reservación, pero exigían q estuvieran presentes cierta cantidad de personas en un lapso corto, de lo contrario cancelarían la reservación. El gerente altanero y arrogante.…",2
Karla Sanchez,No es lo mismo que antes de la pandemia. Pero buena atención.,3
Yonalber Torres,Si quieres comer con moscas dentro del buffet este es el lugar indicado. La carne super tieza y fría prefiero masticar chicle. Mil veces mejor una fonda que comer aquí.,0
Alejandro Reyes Hidalgo,"Super como siempre, bastante rico, un buen precio y con buenas medidas de sanidad",3
Nieve de Limón,"Un lugar maravilloso para comer , lo malo es el ruido pero de ahí en fuera espectacular",4
Carmen Esther,Excelente lugar,4
Juan Antonio Gonzalez,"Lugar agradable, resaltando las medidas de seguridad e higiene, su comida espectacular en sabor y calidad.",4
Uriel Morales,Excelente lugar,4
Alejandro Arturo Cervantes,Buen sabor buena atención solo un poco escasa la variedad,4
Andrés Chávez,La comida súper bien. La dinámica de servicio es ágil y todos son muy atentos. Realmente recomiendo.,4
Alex Rostro,Muy rico lo único malo por semaforo Epidemiológicos tarda un poco los cortes,4
NORMA CORTES,Me encanta Este mes ya fui 3 veces ,4
Mayra Lazcano,"La comida está muy buena, pero el personal no es tan amable.",2
Piramide Del Sol,Muy mal servicio carne no buena muy salada y condimentada exageradamente,0
Diana López,"Excelente servicio, muy buena Atención solo falta más variedad de Cortes",4
Diana González,"Estuvimos esperando más de 1hora, las mesas estaban vacías y no nos pasaban, la recepcionista poco amable, el mesero de la barra de ensaladas no respeta la fila y tiene mal modo, al mesero se le tuvo que repetir varias veces el pedido de…",0
